Set,Number,Purpose,Chem1,Chem2,Chem3,Chem4,Chem5,Parameter_1,Parameter_2,Parameter_3,Parameter_4,Parameter_5,Parameter_6,Parameter_7,Parameter_8,Parameter_9,Parameter_10,Mval_01.1,Mval_01.2,Mval_02,Mval_03.1,Mval_03.2,Mval_04,Mval_05,Mval_06.1,Mval_06.2,Remarks
20031018OPH,9,Condition_1143,CHM846,DXX,9.85,,826,Sub-I,100,90,80,40,200,22,40,30,130,3.91,,87.75,99.66,97.59,41,,,,
20031018OPH,10,Condition_1143,CHM846,DXX,9.85,,826,Sub-I,100,90,80,40,200,22,40,30,130,3.96,,87.84,x,x,x,-35,,,
20031018OPH,11,Condition_1143,CHM846,DXX,9.85,,826,Sub-I,100,90,80,40,200,22,40,30,130,3.95,,87.89,99.64,97.72,37,,,,
20031018OPH,12,Condition_1143,CHM846,DXX,9.85,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.16,,87.80,99.52,97.68,35,,,,
20031018OPH,13,Condition_1144,CHM846,DXX,9.85,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.23,,87.83,x,x,x,-17,,,
20031018OPH,14,Condition_1144,CHM846,DXX,9.85,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.24,,87.85,99.65,97.55,43,,,,
20031018OPH,15,Condition_1144,CHM846,DXX,9.85,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.40,,87.70,99.64,97.35,39,,,,
20031018OPH,16,Condition_1144,CHM846,DXX,9.85,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.30,,87.84,99.66,97.46,44,,,,
20031018OPH,17,Condition_1145,CHM403,EUD,15,,828,Sub-I,100,90,80,40,200,22,40,30,130,4.27,,88.49,x,x,x,15,,,
20031018OPH,18,Condition_1145,CHM403,EUD,15,,828,Sub-I,100,90,80,40,200,22,40,30,130,4.58,,88.51,99.53,97.14,47,,,,
20031018OPH,19,Condition_1145,CHM403,EUD,15,,828,Sub-I,100,90,80,40,200,22,40,30,130,4.11,,88.42,99.63,97.57,40,,,,
20031018OPH,20,Condition_1145,CHM403,EUD,15,,828,Sub-I,100,90,80,40,200,22,40,30,130,4.45,,88.48,99.63,97.20,50,,,,
20031018OPH,21,Condition_1146,CHM403,EUD,15,,828,Sub-I,100,90,80,40,200,22,40,30,130,4.32,,88.48,x,x,x,4,,,
20031018OPH,22,Condition_1146,CHM403,EUD,15,,828,Sub-I,100,90,80,40,200,22,40,30,130,4.44,,88.51,99.59,97.55,41,,,,
20031018OPH,23,Condition_1146,CHM403,EUD,15,,828,Sub-I,100,90,80,40,200,22,40,30,130,3.97,,88.42,99.66,97.96,35,,,,
20031018OPH,24,Condition_1146,CHM403,EUD,15,,828,Sub-I,100,90,80,40,200,22,40,30,130,4.02,,88.45,99.67,97.78,41,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20031019OPA,1,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.39,,85.81,99.51,89.98,37,,,,
20031019OPA,2,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.09,,85.86,99.53,91.46,40,,,,
20031019OPA,3,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.27,,87.27,99.72,98.76,18,,,,
20031019OPA,4,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.01,,87.23,99.64,98.67,19,,,,
20031019OPA,5,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.26,,87.52,99.71,98.29,28,,,,
20031019OPA,6,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.24,,87.54,99.79,98.48,25,,,,
20031019OPA,7,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.36,,86.87,99.66,95.83,81,,,,
20031019OPA,8,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.10,,88.21,99.69,94.63,125,,,,
20031019OPA,9,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.47,,86.78,99.71,95.95,80,,,,
20031019OPA,10,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.06,,86.62,99.64,96.16,77,,,,
20031019OPA,11,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.28,,87.13,99.08,96.27,71,,,,
20031019OPA,12,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,3.84,,87.18,99.58,97.64,51,,,,
20031019OPA,13,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.23,,87.72,94.00,88.57,160,,,,
20031019OPA,14,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.23,,87.42,93.89,86.36,153,,,,
20031019OPA,15,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.27,,87.18,99.54,97.09,45,,,,
20031019OPA,16,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.27,,87.19,99.58,97.16,45,,,,
20031019OPA,17,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.39,,87.06,99.42,96.90,46,,,,
20031019OPA,18,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.28,,86.95,99.58,97.07,47,,,,
20031019OPA,19,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.44,,86.97,99.48,97.42,39,,,,
20031019OPA,20,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.26,,86.98,99.65,97.82,35,,,,
20031019OPA,21,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.08,,86.86,99.75,97.80,39,,,,
20031019OPA,22,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.10,,86.80,99.69,97.65,40,,,,
20031019OPA,23,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.46,,86.79,99.36,93.96,99,,,,
20031019OPA,24,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.23,,86.86,99.70,96.62,57,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20031020OPD,1,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.56,,87.07,,,,,-0.02816,-0.0216,
20031020OPD,2,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.67,,87.19,,,,,-0.0299,-0.02228,
20031020OPD,3,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.47,,87.12,,,,,-0.03214,-0.02433,
20031020OPD,4,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.44,,87.06,,,,,x,x,
20031020OPD,5,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.62,,86.93,,,,,-0.03203,-0.02462,
20031020OPD,6,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.28,,86.97,,,,,x,x,
20031020OPD,7,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.43,,87.08,,,,,-0.03826,-0.02966,
20031020OPD,8,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.36,,87.16,,,,,-0.03398,-0.02533,
20031020OPD,9,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.60,,86.88,,,,,-0.04471,-0.03527,
20031020OPD,10,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.50,,86.88,,,,,-0.04306,-0.03311,
20031020OPD,11,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.52,,86.77,,,,,-0.0478,-0.03895,
20031020OPD,12,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.65,,86.70,,,,,-0.0462,-0.03739,
20031020OPD,13,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.50,,86.69,,,,,-0.05074,-0.04154,
20031020OPD,14,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.45,,86.84,,,,,-0.04763,-0.03886,
20031020OPD,15,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.49,,86.87,,,,,-0.04838,-0.0397,
20031020OPD,16,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,x,,x,,,,,x,x,
20031020OPD,17,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.25,,86.95,,,,,-0.04857,-0.03986,
20031020OPD,18,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.61,,86.87,,,,,-0.05087,-0.04145,
20031020OPD,19,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.50,,86.84,,,,,-0.05428,-0.0469,
20031020OPD,20,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.46,,86.84,,,,,-0.04972,-0.0393,
20031020OPD,21,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.24,,87.11,,,,,-0.04292,-0.03666,
20031020OPD,22,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.41,,87.12,,,,,-0.0392,-0.03322,
20031020OPD,23,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.15,,87.12,,,,,-0.04377,-0.0357,
20031020OPD,24,Condition_1122,,DXX,15,,826,Sub-II,100,90,80,40,200,22,40,30,130,4.20,,87.09,,,,,-0.04959,-0.04028,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20031025OPH,1,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,40,200,15,40,30,130,4.40,,87.66,,,,,-0.035,-0.025,
20031025OPH,2,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,40,200,15,40,30,130,4.50,,87.69,,,,,-0.033,-0.024,
20031025OPH,3,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,40,200,15,40,30,130,4.34,,87.63,,,,,-0.039,-0.029,
20031025OPH,4,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,40,200,15,40,30,130,4.27,,87.66,,,,,-0.039,-0.027,
20031025OPH,5,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,40,200,22,40,30,130,4.29,,87.23,,,,,-0.042,-0.03,
20031025OPH,6,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,40,200,22,40,30,130,4.47,,87.17,,,,,-0.037,-0.027,
20031025OPH,7,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,40,200,22,40,30,130,4.16,,87.26,,,,,-0.039,-0.03,
20031025OPH,8,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,40,200,22,40,30,130,4.33,,87.17,,,,,-0.036,-0.027,
20031025OPH,9,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,40,200,30,40,30,130,4.45,,86.82,,,,,-0.036,-0.028,
20031025OPH,10,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,40,200,30,40,30,130,4.33,,86.83,,,,,-0.037,-0.028,
20031025OPH,11,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,40,200,30,40,30,130,4.50,,86.93,,,,,-0.037,-0.026,
20031025OPH,12,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,40,200,30,40,30,130,4.47,,87.00,,,,,-0.037,-0.026,
20031025OPH,13,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,25,200,22,40,30,130,4.50,,87.17,,,,,-0.035,-0.024,
20031025OPH,14,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,25,200,22,40,30,130,4.25,,87.31,,,,,-0.033,-0.025,
20031025OPH,15,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,25,200,22,40,30,130,4.39,,87.28,,,,,-0.037,-0.029,
20031025OPH,16,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,25,200,22,40,30,130,4.26,,87.21,,,,,-0.038,-0.027,
20031025OPH,17,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,30,200,22,40,30,130,4.32,,87.22,,,,,-0.034,-0.024,
20031025OPH,18,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,30,200,22,40,30,130,4.26,,87.29,,,,,-0.031,-0.024,
20031025OPH,19,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,30,200,22,40,30,130,4.23,,87.25,,,,,-0.035,-0.026,
20031025OPH,20,Condition_1148,CHM553,DXX,15,,438,Sub-II,100,90,80,30,200,22,40,30,130,4.39,,87.23,,,,,-0.032,-0.023,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20031025OPA,1,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.08,,87.57,x,x,x,69,,,
20031025OPA,2,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.04,,87.67,x,x,x,70,,,
20031025OPA,3,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.13,,87.52,88.50,81.81,110,,,,
20031025OPA,4,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.45,,87.38,87.90,66.06,160,,,,
20031025OPA,5,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.35,,87.71,87.04,62.76,173,,,,
20031025OPA,6,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.04,,87.61,92.42,85.95,95,,,,
20031025OPA,7,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.65,,88.68,x,x,x,62,,,
20031025OPA,8,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.45,,88.65,x,x,x,67,,,
20031025OPA,9,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.07,,88.67,98.43,95.27,47,,,,
20031025OPA,10,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.45,,88.73,98.56,95.34,50,,,,
20031025OPA,11,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,3.79,,88.82,97.62,93.84,60,,,,
20031025OPA,12,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.59,,88.73,97.65,93.53,52,,,,
20031025OPA,13,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.42,,86.15,x,x,x,64,,,
20031025OPA,14,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.43,,86.36,x,x,x,61,,,
20031025OPA,15,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.02,,85.70,99.33,95.44,46,,,,
20031025OPA,16,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.46,,85.70,99.50,96.53,46,,,,
20031025OPA,17,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.15,,85.36,99.23,94.80,64,,,,
20031025OPA,18,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.23,,85.64,99.57,96.77,47,,,,
20031025OPA,19,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.16,,88.53,x,x,x,66,,,
20031025OPA,20,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.21,,88.65,x,x,x,65,,,
20031025OPA,21,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.46,,88.58,97.58,92.18,78,,,,
20031025OPA,22,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.34,,88.72,99.20,97.24,32,,,,
20031025OPA,23,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.45,,88.62,99.34,97.31,33,,,,
20031025OPA,24,Condition_1149,,ETX8,5,,426,Sub-I,100,90,80,40,200,22,40,30,130,4.58,,88.63,99.34,96.60,30,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20031027OPD,1,Condition_1150,CHM856,FKI,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,5.09,,88.45,,,,,,,
20031027OPD,2,Condition_1150,CHM856,FKI,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.51,,88.46,,,,,,,
20031027OPD,3,Condition_1150,CHM856,FKI,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,3.99,,88.43,,,,,,,
20031027OPD,4,Condition_1150,CHM856,FKI,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.31,,88.38,,,,19,,,
20031027OPD,5,Condition_1151,CHM856,FKI,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.12,,88.34,,,,,,,
20031027OPD,6,Condition_1151,CHM856,FKI,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.45,,88.40,,,,,,,
20031027OPD,7,Condition_1151,CHM856,FKI,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.35,,88.45,,,,,,,
20031027OPD,8,Condition_1151,CHM856,FKI,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.31,,88.56,,,,27,,,
20031027OPD,9,Condition_1152,CHM856,FKI,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.31,,88.52,,,,,,,
20031027OPD,10,Condition_1152,CHM856,FKI,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.30,,88.47,,,,,,,
20031027OPD,11,Condition_1152,CHM856,FKI,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,3.98,,88.50,,,,,,,
20031027OPD,12,Condition_1152,CHM856,FKI,15,,810,Sub-I,100,90,80,40,200,22,40,30,130,4.31,,88.36,,,,15,,,
20031027OPD,13,Condition_1153,,DXX,15,,,Sub-I,100,90,80,40,200,22,40,30,130,4.26,,87.85,x,x,x,67,,,
20031027OPD,14,Condition_1153,,DXX,15,,,Sub-I,100,90,80,40,200,22,40,30,130,4.03,,87.88,99.69,96.77,73,,,,
20031027OPD,15,Condition_1153,,DXX,15,,,Sub-I,100,90,80,40,200,22,40,30,130,4.17,,87.97,99.74,97.21,61,,,,
20031027OPD,16,Condition_1153,,DXX,15,,,Sub-I,100,90,80,40,200,22,40,30,130,4.28,,87.87,99.65,96.34,74,,,,
20031027OPD,17,Condition_1153,,DXX,15,,,Sub-I,100,90,80,40,200,22,40,30,130,4.46,,88.06,x,x,x,102,,,
20031027OPD,18,Condition_1153,,DXX,15,,,Sub-I,100,90,80,40,200,22,40,30,130,4.58,,87.94,99.70,96.98,57,,,,
20031027OPD,19,Condition_1153,,DXX,15,,,Sub-I,100,90,80,40,200,22,40,30,130,4.29,,87.96,99.69,97.10,58,,,,
20031027OPD,20,Condition_1153,,DXX,15,,,Sub-I,100,90,80,40,200,22,40,30,130,4.44,,87.95,99.78,97.08,62,,,,
20031027OPD,21,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.27,,87.30,x,x,x,11,,,
20031027OPD,22,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.21,,87.29,99.63,97.99,42,,,,
20031027OPD,23,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.21,,87.30,99.31,97.12,57,,,,
20031027OPD,24,Condition_1147,,DXX,15,,826,Sub-I,100,90,80,40,200,22,40,30,130,4.01,,87.25,99.38,97.11,56,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20031101OPH,1,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,40,200,15,40,30,130,4.47,,87.63,x,x,x,105,,,
20031101OPH,2,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,40,200,15,40,30,130,4.51,,87.28,99.74,95.83,108,,,,
20031101OPH,3,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,40,200,15,40,30,130,4.47,,87.61,99.69,95.79,100,,,,
20031101OPH,4,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,40,200,15,40,30,130,4.35,,87.54,99.74,95.87,101,,,,
20031101OPH,5,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,40,200,22,40,30,130,4.48,,87.25,x,x,x,84,,,
20031101OPH,6,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,40,200,22,40,30,130,4.37,,87.12,99.72,95.48,116,,,,
20031101OPH,7,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,40,200,22,40,30,130,4.32,,87.17,99.69,95.56,110,,,,
20031101OPH,8,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,40,200,22,40,30,130,4.65,,87.26,99.74,95.89,93,,,,
20031101OPH,9,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,40,200,30,40,30,130,4.46,,86.62,99.63,94.32,79,,,,
20031101OPH,10,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,40,200,30,40,30,130,4.26,,87.09,98.78,92.97,67,,,,
20031101OPH,11,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,40,200,30,40,30,130,4.36,,86.90,99.40,93.98,56,,,,
20031101OPH,12,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,40,200,30,40,30,130,4.30,,86.94,x,x,x,84,,,
20031101OPH,13,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,25,200,22,40,30,130,4.47,,87.15,x,x,x,45,,,
20031101OPH,14,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,25,200,22,40,30,130,4.43,,87.09,99.58,94.99,98,,,,
20031101OPH,15,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,25,200,22,40,30,130,4.44,,87.16,99.63,95.21,92,,,,
20031101OPH,16,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,25,200,22,40,30,130,4.58,,87.23,99.77,95.75,84,,,,
20031101OPH,17,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,30,200,22,40,30,130,4.70,,87.25,x,x,x,72,,,
20031101OPH,18,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,30,200,22,40,30,130,4.51,,87.08,99.59,95.38,96,,,,
20031101OPH,19,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,30,200,22,40,30,130,4.50,,87.15,99.70,96.03,87,,,,
20031101OPH,20,Condition_1154,CHM553,DXX,15,,438,Sub-I,100,90,80,30,200,22,40,30,130,4.37,,87.04,99.70,95.53,92,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20031102OPA,1,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,10,40,30,130,4.25,,88.86,,,,31,,,
20031102OPA,2,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,10,40,30,130,3.91,,88.85,,,,23,,,
20031102OPA,3,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,10,40,30,130,4.16,,88.90,,,,,,,
20031102OPA,4,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,10,40,30,130,4.49,,88.88,,,,,,,
20031102OPA,5,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,10,40,30,130,4.41,,88.93,,,,,,,
20031102OPA,6,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,10,40,30,130,4.48,,88.87,,,,,,,
20031102OPA,7,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,15,40,30,130,4.29,,88.57,,,,21,,,
20031102OPA,8,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,15,40,30,130,4.48,,88.65,,,,24,,,
20031102OPA,9,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,15,40,30,130,4.70,,88.65,,,,,,,
20031102OPA,10,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,15,40,30,130,4.13,,88.60,,,,,,,
20031102OPA,11,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,15,40,30,130,4.43,,88.66,,,,,,,
20031102OPA,12,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,15,40,30,130,4.50,,88.63,,,,,,,
20031102OPA,13,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,20,40,30,130,4.27,,88.40,,,,15,,,
20031102OPA,14,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,20,40,30,130,4.04,,88.47,,,,25,,,
20031102OPA,15,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,20,40,30,130,3.89,,88.39,,,,,,,
20031102OPA,16,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,20,40,30,130,4.76,,88.37,,,,,,,
20031102OPA,17,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,20,40,30,130,4.34,,88.40,,,,,,,
20031102OPA,18,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,20,40,30,130,4.28,,88.38,,,,,,,
20031102OPA,19,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,25,40,30,130,4.34,,88.25,,,,32,,,
20031102OPA,20,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,25,40,30,130,3.92,,88.20,,,,25,,,
20031102OPA,21,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,25,40,30,130,4.11,,88.33,,,,,,,
20031102OPA,22,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,25,40,30,130,4.09,,88.33,,,,,,,
20031102OPA,23,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,25,40,30,130,4.45,,88.26,,,,,,,
20031102OPA,24,Condition_1155,CHM856-810,FKI,15,,810,Sub-I,100,90,75,40,200,25,40,30,130,4.34,,88.20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20031103OPD,1,Condition_1155,CHM856-810,FKI,15,,810,Sub-II,100,90,75,40,200,10,40,30,130,4.31,,88.89,,,,,x,x,
20031103OPD,2,Condition_1155,CHM856-810,FKI,15,,810,Sub-II,100,90,75,40,200,10,40,30,130,4.33,,88.94,,,,,-0.021,-0.014,
20031103OPD,3,Condition_1155,CHM856-810,FKI,15,,810,Sub-II,100,90,75,40,200,10,40,30,130,4.77,,88.89,,,,,-0.02,-0.013,
20031103OPD,4,Condition_1155,CHM856-810,FKI,15,,810,Sub-II,100,90,75,40,200,10,40,30,130,4.47,,88.88,,,,,-0.021,-0.016,
20031103OPD,5,Condition_1155,CHM856-810,FKI,15,,810,Sub-II,100,90,75,40,200,10,40,30,130,4.34,,88.81,,,,,-0.024,-0.018,
20031103OPD,6,Condition_1155,CHM856-810,FKI,15,,810,Sub-II,100,90,75,40,200,10,40,30,130,4.48,,88.81,,,,,-0.021,-0.014,
